t,q1,q2,q3,qd1,qd2,qd3,tau1,tau2,tau3,tip_x,tip_y,tip_z
0.036000000000000004,-0.0007542475716535058,0.0038292726364704296,-0.009458863304184715,-0.03980507538915007,0.1956345973612641,-0.47276582594329086,-0.4366466774215343,0.4549472644986565,-4.898988664782489,0.002668470391344787,0.0,0.5000197326996745
0.038,-0.0008387405508665219,0.004242415481638827,-0.010453714028951936,-0.042246489606508064,0.2065714225841986,-0.49742536238361,-0.4369565384590974,0.49256050259613504,-4.876634387840107,0.0029604881287885114,0.0,0.5000243537601607
0.04,-0.0009281771197855288,0.004677523025235258,-0.0114977628085585,-0.044718284459503446,0.21755377179821506,-0.5220243898032823,-0.4374572126859215,0.529946548728073,-4.853439374488133,0.003267069139641039,0.0,0.5000297393669514
0.042,-0.0010226167717496562,0.005134680945152378,-0.01259087779622424,-0.04721982598206366,0.2285789599585601,-0.5465574938328699,-0.43814980487435745,0.5671017263847187,-4.829408335022336,0.00358811327175583,0.0,0.5000359684034289
0.044,-0.0011221177240179118,0.005613969538163648,-0.01373291634125308,-0.04975047613412774,0.23964429650563496,-0.5710192725144199,-0.4390354048496153,0.6040224173090143,-4.804546145263157,0.003923517639587564,0.0,0.5000431233081415
0.046,-0.0012267369098617532,0.006115463709850704,-0.01492372501569908,-0.05230959292192075,0.2507470858435282,-0.5954043372230006,-0.4401150872905155,0.6407050620012582,-4.778857845867283,0.00427317663606923,0.0,0.5000512900077517
0.048,-0.0013365299709013245,0.006639232965503568,-0.016163139642897527,-0.05489653051978568,0.2618846278264318,-0.6197073135992227,-0.4413899115305564,0.6771461602072071,-4.752348641595597,0.004636981944836133,0.0,0.5000605578460888
0.05,-0.0014515512496887277,0.007185341402010223,-0.017450985327884062,-0.05751063939370158,0.27305421825332754,-0.6439228424932674,-0.4428609213592173,0.7133422713890192,-4.72502390053679,0.005014822552819963,0.0,0.5000710195093432
0.052000000000000005,-0.0015718537825419585,0.007753847700752851,-0.018787076489725895,-0.060151266426615446,0.28425314937131385,-0.6680455809209166,-0.4445291448233485,0.7492900151785005,-4.696889153285985,0.00540658476323645,0.0,0.5000827709474679
0.054,-0.0016974892926333853,0.008344805121528706,-0.02017121689578999,-0.06281775504571345,0.2954787103879274,-0.692070203032047,-0.44639559402855755,0.784986071812023,-4.667950092077684,0.005812152208990853,0.0,0.5000959112918253
